Zipcode,State,CountyName,State Latitude,State Longitude,ZipLatitude,ZipLongitude
16650,PA,Bedford County,41.203323,-77.194527,40.13,-78.26
31826,GA,Talbot County,33.247875,-83.441162,32.81,-84.69
39322,MS,Wayne County,33,-90,31.53,-88.52
38761,MS,Sunflower County,33,-90,33.44,-90.5
53503,WI,Iowa County,44.5,-89.5,43.16,-89.91
38547,TN,Smith County,35.860119,-86.660156,36.11,-86.01
15637,PA,Westmoreland County,41.203323,-77.194527,40.23,-79.71
16041,PA,Butler County,41.203323,-77.194527,40.99,-79.72
49680,MI,Kalkaska County,44.182205,-84.506836,44.63,-85.25
43933,OH,Belmont County,40.367474,-82.996216,39.95,-80.88
39846,GA,Calhoun County,33.247875,-83.441162,31.56,-84.73
76639,TX,Navarro County,31,-100,31.89,-96.71
46382,IN,La Porte County,40.273502,-86.126976,41.46,-86.81
14138,NY,Cattaraugus County,43,-75,42.36,-79.05
1266,MA,Berkshire County,42.407211,-71.382439,42.31,-73.39
2763,MA,Bristol County,42.407211,-71.382439,41.97,-71.3
4952,ME,Waldo County,45.367584,-68.972168,44.44,-69.14
18826,PA,Susquehanna County,41.203323,-77.194527,41.76,-75.78
26812,WV,Hardy County,39,-80.5,38.87,-78.86
49969,MI,Gogebic County,44.182205,-84.506836,46.27,-89.18
12076,NY,Schoharie County,43,-75,42.39,-74.39
46779,IN,Steuben County,40.273502,-86.126976,41.58,-85.01
95942,CA,Butte County,36.778259,-119.417931,39.97,-121.64
41033,KY,Pendleton County,37.839333,-84.27002,38.74,-84.47
38769,MS,Bolivar County,33,-90,33.85,-91.03
25070,WV,Putnam County,39,-80.5,38.53,-81.93
40055,KY,Henry County,37.839333,-84.27002,38.48,-85.32
4863,ME,Knox County,45.367584,-68.972168,44.04,-68.83
48762,MI,Alcona County,44.182205,-84.506836,44.83,-83.46
50636,IA,Butler County,42.032974,-93.581543,42.89,-92.8
54754,WI,Jackson County,44.5,-89.5,44.45,-90.83
73848,OK,Harper County,36.084621,-96.921387,36.7,-99.89
81415,CO,Delta County,39.113014,-105.358887,38.7,-107.6
48871,MI,Gratiot County,44.182205,-84.506836,43.18,-84.67
43116,OH,Pickaway County,40.367474,-82.996216,39.76,-83.05
95589,CA,Humboldt County,36.778259,-119.417931,40.07,-123.92
71845,AR,Lafayette County,34.799999,-92.199997,33.36,-93.57
99133,WA,Grant County,47.751076,-120.740135,47.99,-119
15333,PA,Washington County,41.203323,-77.194527,40.02,-80.03
95002,CA,Santa Clara County,36.778259,-119.417931,37.44,-121.99
4684,ME,Hancock County,45.367584,-68.972168,44.49,-68.5
48469,MI,Sanilac County,44.182205,-84.506836,43.43,-82.54
54858,WI,Polk County,44.5,-89.5,45.52,-92.49
36316,AL,Coffee County,32.31823,-86.902298,31.18,-85.87
25082,WV,Putnam County,39,-80.5,38.54,-82.02
23156,VA,King and Queen County,37.926868,-78.024902,37.54,-76.73
40972,KY,Clay County,37.839333,-84.27002,37.27,-83.64
42746,KY,Hart County,37.839333,-84.27002,37.25,-85.8
54424,WI,Langlade County,44.5,-89.5,45.23,-89.16
56433,MN,Hubbard County,46.39241,-94.63623,47,-94.72
29014,SC,Chester County,33.836082,-81.163727,34.55,-81.15
99343,WA,Franklin County,47.751076,-120.740135,46.58,-119.15
79322,TX,Crosby County,31,-100,33.64,-101.23
70051,LA,Saint John the Baptist Parish,30.39183,-92.329102,30.07,-90.62
68073,NE,Saunders County,41.5,-100,41.24,-96.39
56036,MN,Freeborn County,46.39241,-94.63623,43.56,-93.27
21623,MD,Queen Annes County,39.045753,-76.641273,39.14,-75.98
2641,MA,Barnstable County,42.407211,-71.382439,41.74,-70.15
68649,NE,Dodge County,41.5,-100,41.46,-96.78
37810,TN,Greene County,35.860119,-86.660156,36.19,-83.05
25253,WV,Mason County,39,-80.5,38.88,-81.97
38879,MS,Lee County,33,-90,34.19,-88.71
54412,WI,Wood County,44.5,-89.5,44.62,-90.01
27252,NC,Chatham County,35.782169,-80.793457,35.59,-79.32
42740,KY,Hardin County,37.839333,-84.27002,37.6,-85.91
13775,NY,Delaware County,43,-75,42.34,-75.16
57445,SD,Brown County,44.5,-100,45.45,-98.1
49235,MI,Lenawee County,44.182205,-84.506836,41.86,-84.23
30234,GA,Butts County,33.247875,-83.441162,33.32,-84.03
50058,IA,Carroll County,42.032974,-93.581543,41.87,-94.67
99402,WA,Asotin County,47.751076,-120.740135,46.17,-117.16
39354,MS,Kemper County,33,-90,32.85,-88.8
16028,PA,Clarion County,41.203323,-77.194527,40.98,-79.61
85325,AZ,La Paz County,34.048927,-111.093735,33.93,-113.86
80497,CO,Summit County,39.113014,-105.358887,39.65,-106.08
60941,IL,Kankakee County,40,-89,41.04,-88.1
31622,GA,Berrien County,33.247875,-83.441162,31.38,-83.22
45684,OH,Adams County,40.367474,-82.996216,38.67,-83.21
76265,TX,Montague County,31,-100,33.69,-97.52
24079,VA,Floyd County,37.926868,-78.024902,37.08,-80.13
36555,AL,Baldwin County,32.31823,-86.902298,30.4,-87.77
49893,MI,Menominee County,44.182205,-84.506836,45.35,-87.61
52157,IA,Clayton County,42.032974,-93.581543,43.02,-91.18
54623,WI,Vernon County,44.5,-89.5,43.7,-91.01
56338,MN,Morrison County,46.39241,-94.63623,46,-93.88
43739,OH,Perry County,40.367474,-82.996216,39.88,-82.31
3449,NH,Hillsborough County,44,-71.5,42.96,-71.98
14101,NY,Cattaraugus County,43,-75,42.38,-78.52
42078,KY,Livingston County,37.839333,-84.27002,37.26,-88.23
53001,WI,Sheboygan County,44.5,-89.5,43.62,-87.94
16340,PA,Warren County,41.203323,-77.194527,41.81,-79.43
63351,MO,Montgomery County,38.573936,-92.60376,38.85,-91.3
65626,MO,Ozark County,38.573936,-92.60376,36.61,-92.1
38541,TN,Overton County,35.860119,-86.660156,36.51,-85.32
77446,TX,Waller County,31,-100,30.08,-95.98
39192,MS,Attala County,33,-90,33.19,-89.78
47380,IN,Randolph County,40.273502,-86.126976,40.28,-85.02
52203,IA,Iowa County,42.032974,-93.581543,41.8,-91.86
55342,MN,Renville County,46.39241,-94.63623,44.74,-94.71
64489,MO,Gentry County,38.573936,-92.60376,40.21,-94.53
