,state_abbrev,county,McDonaldsCount
915,WA,Thurston,12
916,WA,Whatcom,7
917,WA,Yakima,11
918,WI,Adams,2
919,WI,Brown,16
920,WI,Calumet,2
921,WI,Chippewa,4
922,WI,Columbia,3
923,WI,Eau Claire,4
924,WI,Green,2
925,WI,Kewaunee,2
926,WI,La Crosse,4
927,WI,Lincoln,2
928,WI,Marathon,9
929,WI,Milwaukee,47
930,WI,Outagamie,9
931,WI,Ozaukee,6
932,WI,Pepin,1
933,WI,Polk,3
934,WI,Racine,10
935,WI,Rock,12
936,WI,Sauk,7
937,WI,Sheboygan,6
938,WI,St Croix,4
939,WI,Walworth,5
940,WI,Waukesha,19
941,WI,Winnebago,9
942,WV,Berkeley,4
943,WV,Hancock,2
944,WV,Morgan,1
945,WV,Ohio,4
946,WV,Pleasants,1
947,WY,Campbell,2
948,WY,Converse,1
949,WY,Johnson,1
950,WY,Natrona,3
951,WY,Washakie,1
952,NE,Butler,0
953,MT,Sheridan,0
954,MO,Nodaway,0
955,AR,Newton,0
956,ND,Logan,0
957,MI,Mason,0
958,KY,Breckinridge,0
959,MO,Maries,0
960,CO,Logan,0
961,NC,Wilkes,0
962,KS,Pottawatomie,0
963,FL,Glades,0
964,PA,Perry,0
965,IN,Clark,0
966,KS,Cherokee,0
967,IN,Ohio,0
968,TX,Burleson,0
969,IL,Washington,0
970,MI,Iron,0
971,MS,Greene,0
972,LA,Bossier Parish,0
973,NM,Lea,0
974,IN,Crawford,0
975,NE,Chase,0
976,TX,Dickens,0
977,KS,Anderson,0
978,TX,Coke,0
979,MS,Pike,0
980,CO,Prowers,0
981,IN,Starke,0
982,MT,McCone,0
983,PA,Warren,0
984,ID,Lemhi,0
985,GA,Marion,0
986,TX,Armstrong,0
987,TX,Caldwell,0
988,MO,Reynolds,0
989,FL,Putnam,0
990,KY,Morgan,0
991,TX,Coleman,0
992,SD,McPherson,0
993,LA,Plaquemines Parish,0
994,SC,Chesterfield,0
995,AK,Prince of Wales-Outer Ketchikan Borough,0
996,WI,Burnett,0
997,IA,Ida,0
998,MN,Rock,0
999,OH,Preble,0
1000,MI,Tuscola,0
1001,FL,Madison,0
1002,MN,Hubbard,0
1003,ND,Burleigh,0
1004,MN,Morrison,0
1005,IL,McDonough,0
1006,LA,East Feliciana Parish,0
1007,WA,Garfield,0
1008,KS,Washington,0
1009,NM,Curry,0
1010,IN,Daviess,0
1011,GA,Banks,0
1012,SD,Jackson,0
1013,AR,Searcy,0
1014,FL,Washington,0
1015,MN,Carver,0
1016,MI,Presque Isle,0
1017,MT,Flathead,0
1018,WA,Stevens,0
1019,IL,Johnson,0
1020,TX,Hale,0
1021,IA,Mitchell,0
1022,WA,Chelan,0
1023,CT,Tolland,4
1024,TX,Walker,0
1025,NE,Brown,0
1026,NE,Kearney,0
1027,TX,Crockett,0
1028,TX,Robertson,0
1029,IN,Posey,0
1030,KY,Hancock,0
1031,TX,Cherokee,0
1032,GA,Long,0
1033,MN,Aitkin,0
1034,CA,Shasta,0
1035,MN,Todd,0
1036,SD,Jerauld,0
1037,WV,Wood,4
1038,WY,Albany,0
1039,TX,Donley,0
1040,NE,Clay,0
1041,AR,Ouachita,0
1042,IL,Mason,0
1043,KY,Nelson,0
1044,MO,Shannon,0
1045,KY,Nicholas,0
1046,LA,Bienville Parish,0
1047,TX,Limestone,0
1048,IA,Page,0
1049,NC,Montgomery,2
1051,OK,Comanche,0
1052,VT,Caledonia,1
1053,MO,Atchison,0
1054,CA,Mono,0
1055,TN,Wayne,0
1056,CO,Eagle,0
1057,WV,Lewis,0
1058,GA,Atkinson,0
1059,WV,Martin,0
1060,MI,Marquette,0
1061,ME,Cumberland,10
1062,WY,Park,0
1063,GA,Schley,0
1064,WA,Ferry,0
1065,OR,Wallowa,0
1066,AL,Butler,0
1067,CO,Conejos,0
1068,PA,Fulton,1
1069,AR,Little River,0
1070,ID,Bannock,0
1071,AZ,Apache,0
1072,AL,Walker,0
1073,KS,Dickinson,0
1074,CA,Siskiyou,0
1075,MO,Ripley,0
1076,CO,Clear Creek,0
1077,PA,Lawrence,3
1078,IA,Mills,0
1079,FL,Union,0
1080,TX,Borden,0
1081,OK,Bryan,0
1082,TX,Kinney,0
1083,UT,Emery,0
1084,IA,Marshall,0
1085,TX,Gray,0
1086,TX,Houston,0
1087,NY,Orleans,1
1088,SD,Buffalo,0
1089,KY,Butler,0
1090,IL,Henderson,0
1091,TX,Lynn,0
1092,WI,Dodge,0
1093,PA,Crawford,3
1094,CA,Modoc,0
1095,WA,Columbia,0
1096,KS,Logan,0
1097,IL,Shelby,0
1098,MO,Lewis,0
1099,OH,Perry,0
1100,PA,Snyder,1
1101,TX,Nolan,0
1102,MO,Lawrence,0
1103,ND,Sioux,0
1104,SC,Allendale,0
1105,NE,Saline,0
1106,CA,Amador,0
1107,AL,Fayette,0
1108,TX,Wise,0
1109,OK,Choctaw,0
1110,VA,King and Queen,0
1111,KS,Clay,0
1112,IL,Knox,0
1113,ND,Stark,0
1114,IL,Calhoun,0
1115,LA,Grant Parish,0
1116,AR,Lincoln,0
1117,OH,Champaign,0
1118,ND,Slope,0
1119,KS,Greenwood,0
1120,SD,Hand,0
1121,MO,Macon,0
1122,MN,Beltrami,0
1123,KS,Clark,0
1124,HI,Kalawao,0
1125,AK,Hoonah-Angoon Borough,0
1126,VA,Charlotte,0
1127,AK,Municipality of Anchorage,0
1128,ND,Wells,0
1129,MO,Harrison,0
1130,MT,Powell,0
1131,TX,Starr,0
1132,SD,Custer,0
